metric,value
TP,8664
TN,11288
FP,1461
FN,1536
accuracy,0.8694060743387512
precision,0.8557037037037037
recall,0.8494117647058823
f1,0.8525461254612546
specificity,0.8854027766883678
npv,0.8802245789145352
mcc,0.7353712011570614
total,22949
reco,0.8694060743387512
