metric,value
TP,8860
TN,8287
FP,4463
FN,1336
accuracy,0.7472762137191667
precision,0.6650153869248667
recall,0.8689682228324833
f1,0.7534333942769675
specificity,0.6499607843137255
npv,0.8611659565624026
mcc,0.5225425936272631
total,22946
reco,0.7472762137191667
